station id,lon,lat,area,elev
2910322,85.42,57.57,2620,137.7
2910325,86.97,56.77,14900,409.7
2910326,87.78,56.2,9820,514.7
2910328,88.05,55.6,3420,679.3
2910331,86.4,56.18,3460,235.4
2910334,86.88,56.1,617,267.4
2910335,86.08,56.8,340,148.5
2910340,88.08,57.05,11500,208.6
2910345,88.17,56.37,1800,217.9
2910349,89.07,56,290,274.7
2910352,87.62,56.03,1190,306.6
2910355,88.1,55.95,1720,249.8
2910356,88.32,55.87,1320,262.7
2910357,88.38,55.8,792,255.6
2910360,86.83,55.73,1220,304.9
2910362,89.32,56.53,798,213.2
2910365,91.38,57.05,7800,363.8
2910367,92.15,56.23,250,463.7
2910368,91.33,56.92,409,298.7
2910370,90.55,56.65,2130,277.3
2910371,90.95,56.4,1090,289.2
2910373,90.52,56.3,78,305
2910380,90.15,55.82,4580,339.1
2910381,89.63,55.55,1600,345.5
2910384,90.65,55.6,77,305
2910390,89.22,55.73,5000,543.2
2910391,88.45,55.25,500,792.8
2910396,88.63,55.6,615,385.1
2910405,89.3,54.87,3100,825
2910406,89.45,54.4,3520,976.4
2910415,86.3,55.73,1060,247.8
2910420,85.62,50.27,5600,1625.3
2910423,85.92,50.27,383,1583.3
2910425,85.42,49.38,945,1759.8
2910430,87.95,50.63,4190,2045.8
2910435,87.82,51.28,16600,2112.5
2910438,87.68,51.58,472,1430.7
2910439,87.6,51.77,15,1067
2910440,85.72,52.42,58400,1676.9
2910442,86.32,50.13,13500,1856.7
2910450,85.18,52.18,4720,1061.1
2910455,85.42,52.28,1730,715.3
2910460,85.85,52,780,952.6
2910463,85.97,52.17,3360,631.5
2910465,85.68,51.3,500,1954.7
2910467,86.27,51.12,210,1628.5
2910470,85.27,52.52,36900,1330.4
2910471,87.17,52.27,25300,1653.1
2910472,87.1,51.9,21000,1863.9
2910473,87.25,51.8,20100,1882.2
2910476,87.03,52.3,4500,892.2
2910478,86.18,52.65,2060,317.9
2910485,86.17,50.73,3080,1642.9
2910487,85.08,50.43,726,1549.2
2910490,87.15,53.78,29800,794.6
2910491,88.1,53.67,5880,1002.9
2910492,88.53,53.63,4350,970.1
2910493,89.13,53.43,2480,978.1
2910500,88.1,53.64,3320,900.7
2910510,83.28,52.13,20700,761.6
2910511,83.2,52.07,20000,749.7
2910512,82.55,52.1,17600,869.4
2910514,85.58,51.4,7180,1397.4
2910515,84.32,51.02,3480,1517.4
2910517,82.3,51.62,1020,487.2
2910518,82.77,51.27,1140,794.9
2910519,82.97,51.58,1100,837.2
2910520,84.82,52.35,6850,771.3
2910521,84.73,52.38,4870,771.6
2910522,84.32,51.65,2540,1171.9
2910560,82.77,52.52,18700,309.2
2910562,81.2,51.18,6450,467.6
2910563,81.22,51.5,3140,415.5
2910564,82,51.02,2070,580.3
2910570,82.8,53.23,1650,212.6
2910580,83.33,55,17300,241.4
2910581,84.1,55.32,15700,242
2910583,85.67,54.95,7960,253.7
2910585,86.77,54.38,1210,274.4
2910587,84.73,55.5,1390,175.4
2910590,83.87,55.55,996,164.4
